id,title,category_major,category_minor,description,support_content,keywords,age_min,age_max,application_period,application_method,selection_method,reference_url,supervisor,operator,support_scale,documents,qualification,view_count,zip_code,first_reg_date,last_modified_date,collected_at
20251023005400211803,우리지역 스타기업 만들기 사업,일자리,창업,창업에 성공한 지역 우수 청년 창업가에게 컨설팅 및 사업화 자금을 지원하여 사업 규모를 확대하고 함안을 대표하는 스타기업으로 발돋움할 수 있는 기반을 구축하고자 함.,"○ 비즈니스 역량 강화를 위한 맞춤형 교육‧컨설팅 지원
○ 제품(브랜드) 개발을 위한 사업화 자금 지원
○ 판로확보 및 네트워킹 지원(박람회 참가, 수도권 지역 기업 교류 등)",보조금,19,49,20250205 ~ 20250210,이메일 온라인 접수," ⁃ 1차(서류심사): 최종 선정기업의 2배수 선발, 신청자격 검토 및 사업계획서의 적정성, 실현 가능성                                                      등 평가
 ⁃ 킥오프 컨설팅(1차 심사 합격자 대상): 사전컨설팅, 사전교육 및 사업계획서(2차 심사) 작성법 등 진행
 ⁃ 2차(대면심사): 창업 사업화 모델, 사업화 추진계획 등에 대한 PT발표 
                        ※ 대표자 참석 및 발표
 ⁃ 선정 결과 발표: 개별통보",https://hamanstar.org/archive,경상남도 함안군 혁신전략담당관,,3,"ㆍ「우리지역 스타기업 만들기」 지원사업 신청서
ㆍ사업계획서
ㆍ개인정보 수집, 조회, 활용 및 제3자 제공동의서
ㆍ사업자등록증 또는 등록증명원
ㆍ국세 및 지방세 완납증명서
ㆍ법인등기사항전부증명서(법인)
ㆍ건강보험자격득실 확인서(대표자) 
ㆍ2023~2024년 매출증빙서류
ㆍ수상 증빙서류(해당 시)
ㆍ상시근로자 4대 보험 가입증명서
ㆍ기업 주요 활동 실적 및 역량 증빙서류(해당 시)
ㆍ기타 구비서류의 기재 사항 입증서류(해당 시)","○ 함안군 관내 사업자등록이 되어있는 기업 중 대표자의 나이가 19세 ~ 49세 이하인 자로서, 창업 후 7년 이내 청년 기업(함안군 거주자 가점 부여)
○ 지원 제외 대상 업종(농업, 요식업, 제조업, 6차산업)에 해당되지 않는 기업
○ 지역특화상품개발, 정보통신기술(ICT), 문화관광, 라이프 스타일, 신재생, 친환경, 헬스케어 등 기술이나 브랜드를 갖춘 기업",5,48730,2025-10-23 19:30:32,2025-10-27 13:11:30,2025-11-04T00:01:41.595689
20250924005400211793,거제시 청년 스펙-UP 지원사업(자격증 응시료 지원),일자리,취업,"거제시 청년의 구직활동에 따른 경제적 부담을 경감하고, 취업역량 강화를 위하여 시행함","- 지원대상: 거제시 거주(주민등록 기준) 19~39세 미취업 청년
- 지원금액: 1인당 10만원(한도, 횟수제한 없음)
- 지원인원: 200명 내외
- 지원 자격증: 국가 기술 • 전문 자격증, 국가공인민간자격증, 한국사, 어학시험(운전면허 제외)
- 당해 연도 응시 시험만 지원 가능",교육지원,19,39,20250101 ~ 20251210,"정부24 홈페이지 접속  → 거제 청년 스펙-UP 지원사업 검색 → 신청서 등 작성(시스템 입력)
→ 구비서류 파일 업로드","정부24 온라인 신청 → 담당자 접수 → 신청자 중복수혜 조회 → 선정자에게 매 월말 지원금 지급
 * 매월 20일까지 접수건: 해당 월 말일 지급
    매월 21~말일까지 접수건: 익월 말일 지급",https://www.geoje.go.kr/index.geoje?menuCd=DOM_000008902001002001&m=D&idx=62107&startPage=1&searchType=NOT_ANCMT_SJ&keyword=%EC%8A%A4%ED%8E%99&DEP_NM=&NOT_ANCMT_SJ=%EC%8A%A4%ED%8E%99&NOT_ANCMT_CN=,경제해양국,경제해양국,200,"1. 응시사실 증빙자료(응시 확인서 또는 성적표)
2. 응시료 결제 영수증
3. 본인 명의 통장사본
4. 사업자등록 사실여부증명서
* 주민등록초본과 건강보험자격득실확인서는 담당 공무원이 조회",,335,48310,2025-09-24 11:05:10,2025-09-24 17:35:10,2025-11-04T00:01:41.595689
20250922005400211790,독독한 청년 사업,복지문화,문화활동,"청년 지원도서 코너, 강좌, 공간 대여 등 맞춤형 프로그램 제공","청년공간 장소 지원
청년독서회 운영
청년 다독자 선정 및 청년 특강 운영
청년 추천도서 구입 및 청년 지원도서, 수험서 코너 운영",바우처,19,39,,,,https://lib.changwon.go.kr/jh/index_real.php,도서관사업소,,0,,,642,"48121,48123,48125,48127,48129",2025-09-22 13:50:20,2025-09-22 15:41:53,2025-11-04T00:01:41.595689
20250922005400211789,청년 북돋움 사업,복지문화,문화활동,청년들의 자기 계발과 성장을 지원하는 청년 도서관 프로그램 운영,"청년 서가 운영
청년 디딤돌 도서대출 이벤트 운영
청년 야간 스터디룸 운영
청년주간 행사 운영",바우처,19,39,,,,https://lib.changwon.go.kr/hw/index_real.php,도서관사업소,,0,,,356,"48121,48123,48125,48127,48129",2025-09-22 13:47:26,2025-09-22 15:41:38,2025-11-04T00:01:41.595689
20250922005400211788,청년 독서만리 사업,복지문화,문화활동,지역 청년들에게 알맞은 독서환경 및 문화활동 공간 지원,"청년 대상 도서정보서비스 및 생활정보서비스 제공
청년 공간 지원 서비스
청년 다독자 선정 및 청년 원데이 클래스 운영",바우처,19,39,,,,https://lib.changwon.go.kr/hp/index_real.php,도서관사업소,,0,,,167,"48121,48123,48125,48127,48129",2025-09-22 13:42:21,2025-09-22 15:41:25,2025-11-04T00:01:41.595689
20250922005400211786,청년 희망드림 사업,복지문화,문화활동,청년들이 책으로 충전하고 도서관에서 꿈을 찾을 수 있도록 지원,"청년에게 전시공간, 활동공간 대여 및 추천도서 전시 등",바우처,19,39,,,,https://lib.changwon.go.kr/uc/index_real.php,도서관사업소,,0,,,149,"48121,48123,48125,48127,48129",2025-09-22 13:36:45,2025-09-22 15:41:02,2025-11-04T00:01:41.595689
20250922005400211785,"청년, 슬기로운 도서관 생활",복지문화,문화활동,"청년의 역량 강화와 소통 교류의 장을 위한 스터디, 토론, 취업 준비 활동장소 제공","창원,취업 관련 자료 코너 운영 및 청년 맞춤 추천도서목록 제공
청년 원데이 클래스 운영
그룹스터디, 토론, 취업 준비를 위한 창원 청년들에게 모임 장소 제공
노트북, 빔프로젝터, 스크린 등 기기 및 영상 편집 프로그램 지원",바우처,19,39,,,,https://lib.changwon.go.kr/ss/index_real.php,도서관사업소,,0,,,94,"48121,48123,48125,48127,48129",2025-09-22 13:32:27,2025-09-22 15:36:31,2025-11-04T00:01:41.595689
20250922005400211784,청년 문화예술패스 사업,복지문화,문화활동,"19세 청년에게 공연, 전시 관람비 지원을 통해 청년의 문화향유 기회 제공","1인당 연 15만원 공연, 전시 관람비 지원",바우처,19,19,,,,https://youthculturepass.or.kr/,문화관광체육국,,0,,,287,"48121,48123,48125,48127,48129",2025-09-22 13:08:20,2025-09-22 15:35:43,2025-11-04T00:01:41.595689
20250922005400211783,청년 자격증 시험 응시료 지원사업,일자리,취업,미취업 청년의 자격증 취득 비용 지원을 통해 구직활동에 따른 경제적 부담 경감,"ㅇ지원내용: 1인 연 1회, 1종 시험 응시료 실비 지원(10만원 한도)
 ※ 예산 소진 시 조기종료(선착순)(https://www.changwon.go.kr/youth/youth.web  참조)",교육지원,19,39,,,,https://www.changwon.go.kr/youth/youth.web,청년정책담당관,,0,,,512,"48121,48123,48125,48127,48129",2025-09-22 11:02:54,2025-09-22 15:33:21,2025-11-04T00:01:41.595689
20250922005400211782,2025년 청년 면접정장 무료대여사업,일자리,취업,면접정장 무료 대여를 통한 청년 구직자 경제적 부담 경감 및 다양한 면접기회 제공,"ㅇ지원내용: 취업 면접 시 정장 무료대여
ㅇ대여품목
 -남자(1세트): 재킷, 바지, 셔츠, 넥타이
 -여자(1세트): 재킷, 스커트 또는 바지, 블라우스
ㅇ대여기간: 3박4일(대여 횟수 1인 연 2회)",바우처,19,39,,,,https://www.changwon.go.kr/youth/youth.web,청년정책담당관,,0,,,82,"48121,48123,48125,48127,48129",2025-09-22 10:59:22,2025-09-22 15:34:49,2025-11-04T00:01:41.595689
